Hertenheer	high fermentation, amber	6.5%	Scheldebrouwerij voor Brewery Het Nest
Hervoise	high fermentation	8.2%	Brasserie Grain d'Orge
Hik Blond	high fermentation, ale	6.5%	Brewery Het Alternatief bij Brewery De Graal
Hik Bruin	high fermentation	6.5%	Brewery Het Alternatief bij Brewery De Graal
Himelein	high fermentation	6%	Brewery Vissenaken
Hoegaarden	high fermentation, witbier	4.9%	Brewery De Kluis (InBev)
Hoegaarden 0,0	alcoholvrij witbier	0%	Brewery De Kluis (InBev)
Hoegaarden 0,0 Rosée	alcoholvrij fruitbier	0%	Brewery De Kluis (InBev)
Hoegaarden Citron	fruitbier	3%	Brewery De Kluis (InBev)
Hoegaarden Grand Cru	high fermentation	8.5%	Brewery De Kluis (InBev)
Hoegaarden Rosée	fruitbier	3%	Brewery De Kluis (InBev)
Hoegaarden Spéciale	high fermentation, goudblond	5.7%	Brewery De Kluis (InBev)
Hoegaarden Verboden Vrucht	fruitbier	8.8%	Brewery De Kluis (InBev)
Hof Korvatunturi	high fermentation, bruin	11%	't Hofbrouwerijke
Hof ten Dormaal Amber	high fermentation	7.5%	Brewery Hof ten Dormaal
Hof ten Dormaal Blond	high fermentation	8%	Brewery Hof ten Dormaal
Hof ten Dormaal Donker	high fermentation	8.5%	Brewery Hof ten Dormaal
Hofblues	stout	5.5%	't Hofbrouwerijke
Hofdraak	bruin	6.5%	't Hofbrouwerijke
Hofelf	tarwetripel	7.5%	't Hofbrouwerijke
Hofnar	amber	9%	't Hofbrouwerijke
Hofpint	high fermentation, pils	5.5%	't Hofbrouwerijke
Hoftrol	amber	6.2%	't Hofbrouwerijke
Holger	pils	5%	Brewery Martens
Holsbeek Lentetripel	tripel	8.5%	Brewery De Vlier
Hommelbier	goudkleurig, high fermentation	7.5%	Brewery Van Eecke
Hop Harvest	sterk donker	8%	Brewery De Ranke
Hop Ruiter	tripel	8%	Scheldebrouwerij
Hopjutters Triple Hop	India Pale Ale	7.3%	Brewery De Graal voor De Hopjutters
Hoppa Hontas	India Pale Ale	6.5%	Brewery Maenhout
Hoppe	pils	5%	Brewery Van Steenberge
Hopus	high fermentation, goudblond	8.3%	Brewery Lefebvre
Hopverdomme		7.5%	De Struise Brouwers
Horal's Oude Geuze Mega Blend	geuze	7%	3 Fonteinen, Brewery Boon, Timmermans, Oud Beersel, Lindemans, De Troch, De Cam, Hanssens
Horse Ale		4.5%	Inbev Belgium
Horst bier	lage gisting, blond	6.5%	Brewery Haacht
Hotteuse Grand Cru	donker	8%	Affligem Brewery
Houblon Chouffe Dobbelen IPA Tripel	India Pale Ale	9%	Brewery d'Achouffe (Duvel-Moortgat)
Hougaerdse Das	high fermentation, amber	5.1%	Brewery De Kluis (InBev)
Houten Kop	speciaalbier	6.5%	Brewery Strubbe
Huardis	witbier	5.2%	Brewery Nieuwhuys
Ichtegem’s grand cru		6.5%	Brewery Strubbe
Ichtegem's Oud Bruin	roodbruin, high fermentation	5%	Brewery Strubbe
Ignis & Flamma	IPA	7%	De Struise Brouwers bij Brewery Deca
IPA	IPA	7.9%	Brewery Strubbe
Iris	spontane gisting, amber	6%	Brewery Cantillon
Irma	fruitbier	6%	voor bierfirma Vacas
Itters Bruin	tafelbier	1.3%	Brewery Sint-Jozef
Jack’Ouille	blond	5.5%	Brasserie de Bouillon
Jack-Op	gemengde gisting	5.5%	Brewery Boon
Jaded Stillwater Artisanal	Belgo/american ale	10%	De Struise Brouwers bij Brewery Deca
Jambe-de-bois	tripel	8%	Brewery De Ranke voor Brasserie de la Senne
Jan Buuc	etiketbier	7.5%	Brewery Het Sas
Jan De Lichte	witbier	7%	Brewery De Glazen Toren
Jan van Gent	blond	5.5%	Brewery Liefmans
Jan van Oudenaarde	blond	8%	Brewery Slaapmutske
Jean Nicot	tripel, tabaksbier	8.5%	Brewery De Graal
Jeanke	Blonde		Brasserie St. Jean
Jessenhofke Bruin	high fermentation, biologisch	7%	De Proefbrouwerij voor Brewery Jessenhofke
Jessenhofke Maya	high fermentation, biologisch	6%	De Proefbrouwerij voor Brewery Jessenhofke
Jessenhofke Tripel	high fermentation, biologisch, tripel	8%	De Proefbrouwerij voor Brewery Jessenhofke
Jezuwiet	high fermentation, tripel	8.5%	Brewery Boelens
Johannes	streekbier	6.5%	Brewery De Graal voor bierfirma Johannes
Joseph	high fermentation, blond, spelt	5.4%	Brasserie de Silenrieux
Joseph Bio	high fermentation, blond, spelt	5.4%	Brasserie de Silenrieux
Joup	high fermentation	7.5%	Brasserie Grain d'Orge
Julius	high fermentation, bruin	8.7%	Brewery De Kluis (InBev)
Judas	high fermentation, okerblond	8.5%	Alken-Maes (Heineken)
Jules de Bananes	fruitbier, wit	4.9%	Brewery De Ryck
Jules de Kriek	fruitbier, robijnrood	4.9%	Brewery De Ryck
Jupiler	pils	5.2%	Brewery Piedbœuf
Jupiler Blue	lage gisting, pils	3.3%	Brewery Piedbœuf (InBev)
Jupiler NA	alcoholarm	0.5%	Brewery Piedbœuf (InBev)
Jupiler New Tauro	lage gisting	6.2%	Inbev
Jupiler Tauro	lage gisting	8.3%	Inbev
Kalle	tripel	8%	Brewery Gulden Spoor
Kameleon Amber	biologisch	6.5%	Brewery Den Hopperd
Kameleon Donker	biologisch	6%	Brewery Den Hopperd
Kameleon Ginseng	biologisch	6.5%	Brewery Den Hopperd
Kamil	high fermentation	6.5%	De Proefbrouwerij voor bierfirma BVG
Kameleon Tripel	biologisch, tripel	8.5%	Brewery Den Hopperd
Kapel van Viven Blond	blond	6.8%	De Proefbrouwerij voor Beerdevelopment Viven
Kapel van Viven Bruin	bruin	6.6%	De Proefbrouwerij voor Beerdevelopment Viven
Kapittel Abt	bruin	10%	Brewery Van Eecke
Kapittel Blond	blond	6.5%	Brewery Van Eecke
Kapittel Dubbel	bruin	7.5%	Brewery Van Eecke
Kapittel Pater	bruin	6%	Brewery Van Eecke
Kapittel Prior	bruin	9%	Brewery Van Eecke
Kapittel Tripel Abt	tripel	10%	Brewery Van Eecke
Karlsquell	pils	4.6%	Brewery Martens
Kastaar	blond	6%	Brewery De Block
Kasteel Blond	blond, high fermentation	7%	Brewery Van Honsebrouck
Kasteel Cuvée du Chateau	donker	11%	Brewery Van Honsebrouck
Kasteel Donker	donker	11%	Brewery Van Honsebrouck
Kasteel Rouge	kriek	8%	Brewery Van Honsebrouck
Kasteel Tripel	tripel	11%	Brewery Van Honsebrouck
Kasteelbier Blond	blond	11%	Brewery Van Honsebrouck
Kasteelbier Bruin	bruin	11%	Brewery Van Honsebrouck
Kasteelbier Ooidonk	etiketbier	11%	Brewery Van Honsebrouck
Kastel	amber	7%	De Proefbrouwerij in opdracht van De Kastelse Biervereniging
Kastels pompoenbier	tarwebier, seizoensgebonden, met pompoen		De Proefbrouwerij in opdracht van De Kastelse Biervereniging
Katje Special	high fermentation, ale	6%	Brewery Het Sas
Keikoppenbier	blond, biologisch	6.1%	Brewery De Plukker
Keizer Karel Robijn Rood	robijnrood	8.5%	Brewery Haacht
Keizer Karel Goud Blond	blond	8.5%	Brewery Haacht
Keizersberg	Abbey Beer	9%	Brewery Van Steenberge
Kempisch Vuur 3-Dubbel	bruin	7.5%	De Proefbrouwerij in opdracht van Brewery Pirlot
Kempisch Vuur Tripel	tripel	7.5%	De Proefbrouwerij in opdracht van Brewery Pirlot
Kerasus	donkerrood	5.5%	Brewery Alvinne
Kerelsbier Donker	etiketbier	6.4%	Brewery Het Sas
Kerelsbier Licht	etiketbier	6.4%	Brewery Het Sas
Kerkomse Tripel	tripel	9%	Brewery Kerkom bij Brewery Sint-Jozef
Kerstpater	high fermentation, kerstbier	9%	Brewery Van Den Bossche
Kerstbie	donker, kerstbier	8%	Brewery De Bie
KerstSmiske	donker, kerstbier	11%	Brewery Smisje
Kerstvuur	kerstbier	8%	De Proefbrouwerij voor Brewery Pirlot
Kessel 69	high fermentation	6.9%	Brewery De Vlier
Kessel Blond	high fermentation	7.5%	Brewery De Vlier
Keyte	blond, high fermentation	7.5%	Brewery Strubbe
Keyte-Dobbel-Tripel	robijnrood, high fermentation	9.2%	Brewery Strubbe
Kleveretien	high fermentation, winterbier	10%	De Scheldebrouwerij voor Brewery Het Nest
Klingse Kalsei	high fermentation, streekbier	8%	Brewery Van Steenberge
Kloeke Blonde	high fermentation, Belgische blonde ale	6%	De Struise Brouwers
Klokke Roeland	donker	11.5%	Brewery Van Steenberge
Klooster van Viven	bruin	6.6%	De Proefbrouwerij voor Beerdevelopment Viven
Koantjesbier	high fermentation	7%	De Proefbrouwerij voor Bierfirma Vacas
Koekelaring	high fermentation	6.5%	Brewery De Graal voor De Hoevebrouwers
Koeketiene	tripel	8.5%	Brewery Maenhout
Koerseklakske	high fermentation	5.5%	Brewery 't Gaverhopke
Korsakoff	ongefilterd blond bier	6.5%	't Hofbrouwerijke
Kortrijk-d’Utsel	brutbier	8.5%	Brewery Kortrijk-d’Utsel
Kriek Belgique	fruitbier	3.5%	Brasserie du Bocq
Kriek Boon	lambiek	4.5%	Brewery Boon
Kriek Cantillon 100% Lambic	lambiek	5.5%	Brewery Cantillon
Kriek De Ranke	fruitbier	4.5%	Brewery De Ranke
Kriek de Silenrieux	fruitbier	4.5%	Brasserie de Silenrieux
Kriek Fantastiek	fruitbier, roodbruin	4.9%	Brewery De Ryck
Kriek Girardin	lambiek	5%	Brewery Girardin
Kriek Jacobins	lambiek	4.5%	Brewery Bockor
Kriek Lindemans	lambiek	3.5%	Brewery Lindemans
Kriek Mariage Parfait	lambiek	8%	Brewery Boon
Kriekedebie	fruitbier	4.4%	Brewery De Bie
Kriekenbier	fruitbier, lage gisting	4%	Brewery Sint-Jozef
Kriekenbier	fruitbier	4.5%	Brewery Strubbe
Kriek Max	fruitbier	3.2%	Brewery Bockor
Kwaremont	blond, high fermentation	6.6%	Brewery Bavik
Kwets	blond tarwebier	6.8%	Brewery De Graal voor Microbrouwerij Paeleman in opdracht van Kwets vzw
Kwibus Blond	blond, high fermentation	6.4%	Brewery Danny
Kwibus Donker	high fermentation	6.4%	Brewery Danny
La Barbiot Ambrée	high fermentation	9.5%	Brasserie la Barbiot
La Barbiot Blonde	high fermentation	8%	Brasserie la Barbiot
La Binchoise Blonde	high fermentation, blond	6.2%	Brewery La Binchoise
La Binchoise Brune	high fermentation	7.7%	Brewery La Binchoise
La Binchoise Organic’ Brune	high fermentation, biologisch	7%	Brewery La Binchoise
La Binchoise Organic’ Miel	high fermentation, biologisch, honingbier	8.5%	Brewery La Binchoise
La Binchoise Organic’ Triple	high fermentation, biologisch, tripel	8.5%	Brewery La Binchoise
La Binchoise Spéciale Noël	high fermentation, kerstbier	9%	Brewery La Binchoise
La Binchoise Triple	high fermentation, tripel	8.5%	Brewery La Binchoise
La Binchoise XO	high fermentation	12%	Brewery La Binchoise
La Botteresse Ambrée	high fermentation	8.5%	Brasserie la Botteresse de Sur-les-bois
La Botteresse de Noël	high fermentation, kerstbier	10.5%	Brasserie la Botteresse de Sur-les-bois
La Botteresse Blonde	high fermentation	7.5%	Brasserie la Botteresse de Sur-les-bois
La Botteresse Brune	high fermentation	9.5%	Brasserie la Botteresse de Sur-les-bois
La Botteresse aux cerises	high fermentation, fruitbier	5.5%	Brasserie la Botteresse de Sur-les-bois
La Botteresse Ambrée au miel	high fermentation, honingbier	8.5%	Brasserie la Botteresse de Sur-les-bois
La Botteresse aux pommes	high fermentation, fruitbier	5.4%	Brasserie la Botteresse de Sur-les-bois
La Blanche des Saisis	witbier	6.2%	Brasserie Ellezelloise
La Bouillonnaise	bruin, high fermentation	7%	Brasserie de Bouillon
La Chérie	fruitbier	5%	Brasserie Val de Sambre
La Chèvenis	high fermentation	6%	Brasserie de Bouillon
La Chouffe	blond, high fermentation	8%	Brewery d'Achouffe (Duvel-Moortgat)
La Corne du Bois des Pendus Blonde	high fermentation, blond	5.9%	Brasserie d'Ebly
La Corne du Bois des Pendus Triple	high fermentation, triple	7%	Brasserie d'Ebly
La Cré Tonnerre	high fermentation, tripel	7%	Brasserie de Silly
La Divine	high fermentation, amber	9.5%	Brasserie de Silly
La Douce Vertus	high fermentation, ale	7%	Brasserie Millevertus
La Fumette	high fermentation, Rauchbier	6.5%	Brasserie Millevertus
La Grognarde	high fermentation	5.5%	Brasserie Sainte-Hélène
La Guillotine	sterk blond	8.5%	Brewery Huyghe
La Jamboise de Bister	bleek blond	6.5%	Brewery Lefebvre
La Loubécoise	donker, high fermentation	8%	Brasserie d'Ecaussinnes
La Mac Vertus	stout	4.8%	Brasserie Millevertus
La Médiévale	amber, high fermentation	6%	Brasserie de Bouillon
La Mère Vertus	tripel	7%	Brasserie Millevertus
La Moneuse	saison, amber	8%	Brasserie de Blaugies
La Moneuse Spéciale Noël	saison, bruin, high fermentation	8%	Brasserie de Blaugies
La Moraipire	tripel	8.5%	Brasserie Millevertus
La Namuroise	high fermentation	7%	Les Artisans Brasseurs
La Noire Fontaine	high fermentation	8%	Brasserie de Bouillon
La Penneffoise	fruitbier	8%	Brasserie d'Ecaussinnes
La Pils des 3 Canaux	pils	4.5%	Authentique Brasserie
La Poiluchette Blonde Cuvéé du Château	high fermentation	7.5%	Brewery Huyghe
La Poiluchette Brune	high fermentation	7.5%	Brewery Huyghe
La Poirette de Fontaine	high fermentation, fruibier	8.5%	Brasserie la Botteresse de Sur-les-bois
La Prime	high fermentation, winterbier	8.5%	Brasserie Sainte-Hélène
La Rulles Blonde	high fermentation	7%	Brasserie Artisanale de Rulles
La Rulles Brune	high fermentation	6.5%	Brasserie Artisanale de Rulles
La Rulles Cuvée Meilleurs Vœux	high fermentation, winterbier	7.3%	Brasserie Artisanale de Rulles
La Rulles Estivale	high fermentation	5.2%	Brasserie Artisanale de Rulles
La Rulles La Grande 10	high fermentation, Belgian strong pale ale	10%	Brasserie Artisanale de Rulles
La Rulles Triple	high fermentation, tripel	8.4%	Brasserie Artisanale de Rulles
La Safranaise	high fermentation, kruidenbier	7%	Brasserie Millevertus
La Saison de Pipaix		6%	Brasserie à Vapeur
La Saison des Chasses Ambrée	saison	7%	Brasserie de Bouillon
La Saison des Chasses Blonde	saison	6%	Brasserie de Bouillon
La Sambresse Blonde	high fermentation	8%	Brewery Brootcoorens
La Spéciale Fêtes	winterbier	8.5%	Brasserie de Bouillon
La Trompeuse	high fermentation	6.9%	Brasserie Jean Tout Seul
La Troufette Belle d'été	high fermentation	6%	Brasserie de Bastogne
La Troufette Blonde	high fermentation	6%	Brasserie de Bastogne
La Troufette Brune	high fermentation, winterbier	6.8%	Brasserie de Bastogne
La Troufette Givrée	high fermentation	8%	Brasserie de Bastogne
La Troufette Rousse	high fermentation	7.8%	Brasserie de Bastogne
La Vauban	Abbey Beer	6%	Brasserie de Bouillon
La Vapeur en Folie		8%	Brasserie à Vapeur
La Vapeur Légère		5%	Brasserie à Vapeur
La Waterlootoise	tripel	9%	Brewery Van Steenberge
Lam Gods	bruin dubbel	6.8%	Brewery Van Steenberge voor Brewery Paeleman
L’Amarante	high fermentation, kruidenbier	8%	Brasserie Millevertus
Lambinus	high fermentation, honingbier	8%	De Proefbrouwerij voor bierfirma Lesage
Lamme Goedzak	high fermentation	7%	De Scheldebrouwerij
Lamoral Degmont	high fermentation, amberblond	8%	Brewery Van Den Bossche
Le Pavé de l'Ours	high fermentation, speciale belge	7.5%	Brasserie de Silenrieux
Leeuw Pilsener	pilsener	5%	Brewery Haacht
Leeuwse Witte	witbier	5%	Affligem Brewery (Brewery De Smedt)
Leffe Blond	blond, Abbey Beer	6.6%	AB InBev
Leffe Bruin	bruin, Abbey Beer	6.5%	AB InBev
Leffe Kerst	kerstbier, Abbey Beer	6.5%	AB InBev
Leffe Lente	Abbey Beer	6.5%	AB InBev
Leffe Radieuse	Abbey Beer	8.2%	AB InBev
Leffe Royale	blond, Abbey Beer	7.5%	AB InBev
Leffe Ruby	fruitbier, Abbey Beer	6.5%	AB InBev
Leffe Tripel	tripel, Abbey Beer	8.4%	AB InBev
Leffe Vieille Cuvée	Amber	8.2%	AB InBev
Leffe 9°	high fermentation	9%	AB InBev
Leireken Boekweit Blond	amber, high fermentation, boekweit, biologisch	6%	Brewery Strubbe voor Guldenboot nv
Leireken Boekweit Bruin	bruin, high fermentation, boekweit, biologisch	6%	Brewery Strubbe voor Guldenboot nv
Leireken Lager Bio	pils, biologisch	5.2%	Brewery Strubbe voor Guldenboot nv
Leireken Wilde Vruchten	fruitbier, high fermentation, biologisch	5.2%	Brewery Strubbe voor Guldenboot nv
Leireken Witte Spelt	blond, high fermentation, spelt	5%	Brewery Strubbe voor Guldenboot nv
L'Enfant Terrible	high fermentation, oak aged	7%	Brewery De Dochter van de Korenaar
Lesage Blond	high fermentation, tripel	7%	De Proefbrouwerij voor bierfirma Lesage
Lesage Dubbel	high fermentation	7.5%	De Proefbrouwerij voor bierfirma Lesage
Leute Bokbier	roodbruin, high fermentation	7.5%	Brewery Van Steenberge
Li Berwette	amber, high fermentation	8%	Brasserie Saint-Monon voor Confrérie du Busson
Li Berwette di Noyè	donker kerstbier	8.5%	Brasserie Saint-Monon voor Confrérie du Busson
Liefmans Cuvée-Brut	fruitbier	6%	Brewery Liefmans
Liefmans Frambozenbier	fruitbier	5.4%	Brewery Liefmans
Liefmans Fruitesse Rood	fruitbier	4.2%	Brewery Liefmans
Liefmans Goudenband	bruin	8%	Brewery Liefmans
Liefmans Oud Bruin	oud bruin	5%	Brewery Liefmans
Liene	amber, tripel	7%	't Hofbrouwerijke in opdracht van Brewery Het Nest
Liers Kerstbier	amber, kerstbier	6%	Brewery Strubbe voor stad Lier
Lily Blue	high fermentation	7.5%	Brasserie Sainte-Hélène
Limburgse Witte	high fermentation	5%	Brewery Sint-Jozef
Limerick	blond	8%	De Proefbrouwerij voor bierfirma Bas-bieren
Lindemans Apple	lambiek	3.5%	Brewery Lindemans
Lindemans Cassis	Fruitbier	3.5%	Brewery Lindemans
Lindemans Framboise	lambiek	2.5%	Brewery Lindemans
Lindemans Kriek	kriek	4%	Brewery Lindemans
Lindemans Pecheresse	fruitbier	2.5%	Brewery Lindemans
Liter van Pallieter	tripel	8%	Microbrouwerij Achilles
Living Tripel	tripel	9%	De Proefbrouwerij
Livinus	blond, high fermentation	10%	Brewery Van den Bossche
Livinus Blonde	tripel	10%	Brewery Van Eecke
Livinus Brune	donker	9%	Brewery Van Eecke
Lokernaere	etiketbier	5.5%	Brewery Het Sas
Loterbol 6°	high fermentation	6%	Brewery Loterbol
Loterbol Blond	high fermentation	8%	Brewery Loterbol
Loterbol Bruin	high fermentation	8%	Brewery Loterbol
Lou Pepe	geuze	5%	Brasserie Cantillon
Louwaege Dubbel Blond	tafelbier	1.4%	Brewery Louwaege
Louwaege Faro	tafelbier	1.4%	Brewery Louwaege
Louwaege's Kriek	kriek	4.3%	Breweryen Alken-Maes
Louwaege Stout	stout	4.8%	Brewery Louwaege
Lozen Boer	high fermentation, quadrupel	10%	De Proefbrouwerij voor de familie Neyt
Lucifer	blond, high fermentation	8.4%	Brewery Het Anker (vroeger in Brewery Riva en Brewery Liefmans)
Lupulus Blonde	high fermentation	8.5%	Brasserie les 3 Fourquets
Lupulus Brune	tripel	8.5%	Brasserie les 3 Fourquets
Lustem	tarwebier	7%	‘t Hofbrouwerijke voor De Verhuisbrouwerij
Ma Mère Spéciale	donkerblond	6%	Brewery De Leite
Maerlant	tripel	9%	Brewery Van Steenberge
Maes	pils	5.2%	Alken-Maes
Maes Nature	tafelbier	1.5%	Alken-Maes (Heineken)
Mageleno	blond	7.5%	Huisbrouwerij Sint Canarus
Malheur 6	goudblond	6%	Brewery De Landtsheer
Malheur 8	blond	8%	Brewery De Landtsheer
Malheur 10	blond	10%	Brewery De Landtsheer
Malheur 12	roodbruin	12%	Brewery De Landtsheer
Malheur Bière Brut	blond	11%	Brewery De Landtsheer
Malheur Dark Brut	donkerbruin	12%	Brewery De Landtsheer
Malheur Cuvée Royale	blond	9%	Brewery De Landtsheer
Maltosa	bruin, tafelbier	1.2%	Brewery Haacht
Mamouche	lambiek	5%	Brewery Cantillon
Maneblusser	blond	6%	Brewery Het Anker
Manneke Pils	pils	5.2%	Brewery Lefebvre
Mano Negra	imperial stout	10%	Brewery Alvinne
Manten	high fermentation	6%	Brewery Gulden Spoor
Marckloff	high fermentation	6.5%	Brasserie La Ferme au Chêne
Maredsous blond	blond	6%	Brewery Duvel Moortgat
Maredsous bruin	bruin	8%	Brewery Duvel Moortgat
Maredsous tripel	tripel	10%	Brewery Duvel Moortgat
Margriet	etiketbier	6.5%	Brewery Het Anker
Martens Pils	pils	5%	Brewery Martens (Bocholt)
Martin’s Blond	high fermentation	6%	Group John Martin
Martin’s Pale Ale	high fermentation	5.5%	Group John Martin
Mater Witbier	tarwebier	5%	Brewery Roman
Mc Chouffe	donker	8.0%	Brasserie d'Achouffe (Duvel-Moortgat)
Mc Thals	blond, high fermentation	9.5%	Brewery DijkWaert
Melchior	amber	11%	Brewery Alvinne
Melchior Oak Aged	oak aged	11%	Brewery Alvinne
Melse God	blond	6.5%	Brewery Huyghe
Merck toch hoe sterck	gerstewijn	9%	De Scheldebrouwerij
Métisse Saison	saison	5.7%	De Lion à Plume bij Brasserie Sainte-Hélène
Meuuh!	witbier	5.5%	Brasserie Saint-Monon voor Confrérie du Busson
Mistinguett	high fermentation	6.5%	Brasserie Sainte-Hélène
Modeste Bruin	bruin, biologisch	7.8%	Brewery Strubbe voor BioFresh
Modeste Tripel	tripel, biologisch	8.4%	Brewery Strubbe voor BioFresh
Moeder Overste	blond	8%	Brewery Lefebvre
Moinette Blonde	blond	8%	Brasserie Dupont
Moinette Brune	bruin	8.5%	Brasserie Dupont
Moinette Biologique	blond, biologisch	7.5%	Brasserie Dupont
Molse Tripel	tripel	8.3%	Scheldebrouwerij
Mongozo Banana	fruitbier	4.5%	Brewery Huyghe
Mongozo Coconut	fruitbier	3.5%	Brewery Huyghe
Mongozo Mango	fruitbier	3.6%	Brewery Huyghe
Mongozo Palmnut	fruitbier	7%	Brewery Huyghe
Mongozo Premium Pilsener	pils, biologisch	5%	Brewery Huyghe
Mongozo Quinua	fruitbier	5.9%	Brewery Huyghe
Monk's Stout	stout	5.2%	Brasserie Dupont
Mont-Saint-Aubert	tripel	8%	Brasserie de Brunehaut
Montagnarde	amber	9%	Brasserie de l'Abbaye des Rocs
Montagnarde Altitude 6	blond	6%	Brasserie de l'Abbaye des Rocs
Morpheus Dark	high fermentation	10.2%	Brewery Alvinne
Morpheus Extra RA	high fermentation	7.1%	Brewery Alvinne
Morpheus Tripel	high fermentation, tripel	8.7%	Brewery Alvinne
Morpheus Wild	Vlaams oud bruin	5.9%	Brewery Alvinne
Mort Subite Cassis	fruitbier	4.5%	Breweryen Alken-Maes
Mort Subite Faro	faro	4%	Alken-Maes
Mort Subite Framboise	fruitbier	5%	Alken-Maes
Mort Subite Gueuze	geuze	4.5%	Alken-Maes
Mort Subite Kriek	fruitbier	4.5%	Alken-Maes
Mort Subite Original Gueuze	geuze	4.5%	Alken-Maes
Mort Subite Original Kriek	fruitbier	4.5%	Alken-Maes
Mort Subite Oude Gueuze	oude geuze	7%	Alken-Maes
Mort Subite Oude Kriek	oude kriek	6.5%	Alken-Maes
Mort Subite Pêche	fruibier	4.5%	Alken-Maes
Mort Subite Xtreme Framboise	fruitbier	4.3%	Alken-Maes
Mort Subite Xtreme Kriek	fruitbier	4.3%	Alken-Maes
Mort Subite Xtreme Manzana	fruitbier	4.2%	Alken-Maes
Mort Subite Witte Lambic	lambiek	5%	Alken-Maes
Motuecha	high fermentation	5%	De Struise Brouwers
Moulin de Hollange – Blonde d’Epeautre	high fermentation, speltbier	6%	Brasserie Millevertus
Mouten Kop	koperkleurig India Pale Ale	6%	Brewery De Graal voor De Hopjutters
Mug	high fermentation	5%	De Scheldebrouwerij
Myn's Pils	pils	5%	Brasserie de Silly
Mystic Krieken	high fermentation, fruitbier	3.5%	Brewery Haacht
Mystic Limoen	high fermentation, fruitbier	3.5%	Brewery Haacht
Mystic Perzik	high fermentation, fruitbier	3.7%	Brewery Haacht
'n Maurootje	donkerblond	7%	Brewery Alvinne
'n Peerdevisscher	bruin	6.5%	Brewery Strubbe
'n Slypke	roodbruin, etiketbier	6%	Brewery Van Eecke
'n Toeback	high fermentation	9.5%	Scheldebrouwerij
Naked Ladies	high fermentation	4.4%	Brewery Alvinne
Napoleon	donker	7%	Affligem Brewery (Brewery De Smedt)
Ne Flierefluiter	tripel	8.5%	Brewery De Smedt in opdracht van bierfirma Fisser
Ne Kopstoot	high fermentation, goudkleur	7%	Brasserie de Brunehaut
Ne Snoeper	tripel	10%	't Hofbrouwerijke
Nello's Blond	blond	7%	Brewery De Arend
Nello's Tripel	tripel		Brewery De Arend
Nen Bangelijke	sterk blond	8%	Brewery 't Pakhuis
Nen Biskop	blond	6.4%	Brewery Danny voor Stichting Marcel De Bisschop
Nen Kerstbal	kerstbier	8%	voor bierfrima Vacas
Nen Uts	speciale belge	7%	Brewery De Graal voor De Hoevebrouwers
Netebuk	sterk blond	6.5%	Brewery Gulden Spoor
Newton	fruitbier	3.5%	Brewery Lefebvre
N'Ice Chouffe	donker seizoensbier	10%	Brasserie d'Achouffe (Duvel-Moortgat)
Nivoo	tripel	7%	Brewery Anders! voor GIBRIT
Noblesse	high fermentation, blond	5.5%	Brewery De Dochter van de Korenaar
Noblesse Extra	high fermentation, IPA	7%	Brewery De Dochter van de Korenaar
Noël de Silenrieux	tripel, kerstbier	9%	Brasserie de Silenrieux
Noir de Dottignies	high fermentation	9%	Brewery De Ranke
Nondedju	tripel	10.7%	’t Hofbrouwerijke voor Montaigu
NOORderbierke	high fermentation, amberblond	8.1%	Brewery Donum Ignis
Nostradamus	high fermentation, bruin	9%	Brasserie Caracole
Notre Passion	porter	8%	’t Hofbrouwerijke voor Montaigu
Nounnette	blond	7.5%	Brasserie de l'Abbaye des Rocs
Nuits Blanches		7.5%	Brasserie de l'Abbaye des Rocs
Odlo Blond	high fermentation	6.7%	Brewery De Graal voor (T)Huisbrouwerij Odlo
Odlo Hivernum	winterbier, Belgian Imperial Stout	8.7%	Brewery Lupus voor (T)Huisbrouwerij Odlo
Odlo Triviaal	tripel	8.2%	Brewery De Graal voor (T)Huisbrouwerij Odlo
Oeral	India Pale Ale	6%	De Dolle Brouwers
Oerbier	high fermentation	7.5%	De Dolle Brouwers
Oerbier special Reserva	high fermentation	13.0%	De Dolle Brouwers
Oesterstout	stout	8.5%	De Scheldebrouwerij
Omer.	high fermentation, blond	8%	Brewery Bockor
Ommegang	strogeel, high fermentation	8%	Brewery Haacht
Ondineke	tripel	8.5%	Brewery De Glazen Toren
Op-Ale	ale	5%	Affligem Brewery (Brewery De Smedt)
Opitter	export		Brewery Sint-Jozef
Ops-Ale	blond	5.5%	Brewery Sint-Jozef
Orval	trappist	6.2%	Abdij Notre-Dame d'Orval
Orvélo	tripel	7.5%	De Proefbrouwerij voor bierfirma Half Zeven
Oudbeitje	aardbeienlambiek	6%	Hanssens Artisanaal
Oud Bier	tafelbier	2.1%	Brewery Strubbe
Oud Tassels	tripel	8.5%	Brewery Boelens voor Bier- en Wijnhandel De Neys-Asselman
Oud Kriekenbier	fruitbier	6%	Brewery Strubbe
Oud Zottegems Bier	high fermentation	6.5%	Brewery Strubbe
Oude Geuze 3 Fonteinen	geuze	7%	Geuzestekerij 3 Fonteinen
Oude Geuze Vintage 3 Fonteinen	geuze	6%	Geuzestekerij 3 Fonteinen
Oude Geuze Boon	geuze	6.5%	Brewery Boon
Oude Geuze De Cam	geuze	6%	Geuzestekerij De Cam
Oude Geuze Oud Beersel	geuze	6%	Brewery Oud Beersel
Oude Gueuze Hanssens	geuze	6%	Hanssens Artisanaal
